Site,LHD,Latitude,Longitude,Location
Mobile site,Hunter New England,-32.92233,151.7541699,ABC Pharmacy
Mobile site,Hunter New England,-32.934754,151.739824,Hassall Street
Mobile site,Hunter New England,-32.934754,151.739824,Soul Cafe
Mobile site,Hunter New England,-31.91503,152.458475,Taree Community Kitchen
Mobile site,Hunter New England,-32.935553,151.739311,Hamilton South Community Centre
Mobile site,Hunter New England,-31.9122479,152.4583319,Taree Community Health Centre
Mobile site,Hunter New England,-31.9409322,152.4690838,Biripi Aboriginal Medical Centre
Mobile site,Mid-North Coast,-31.0779377,152.8323682,Kempsey Neighbourhood Centre
Mobile site,Mid-North Coast,-31.0966633,152.8350924,South Kempsey Neighbourhood Centre
Mobile site,Mid-North Coast,-30.8867043,153.0438458,West Kempsey Park
Mobile site,Mid-North Coast,-30.7078,152.92029,Rotary Park Macksville
Mobile site,Mid-North Coast,-30.6516021,152.9966201,Bellwood Park
Mobile site,Mid-North Coast,-31.4365442,152.8973405,Port Macquarie Community Health Centre
Mobile site,Mid-North Coast,-31.4797018,152.9175392,Kooloonbung Creek Nature Park
Mobile site,Mid-North Coast,-31.4388641,152.8942316,Port Macquarie Neighbourhood Centre
Mobile site,South East Sydney,-33.9510733,151.0545269,Thurlow Community Hub Riverwood 
Mobile site,South East Sydney,-33.9393954,151.23723,Salvation Army Eastern Beaches Haedquarters
Mobile site,South East Sydney,-34.0391913,151.1008096,Crossroads Community Care Centre
